Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Extended Time & Tutoring;Instruction;Shared Services;Non-School;At Risk;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;State Ed. Allotment;TEACHER, REGULAR;nan;nan;Extended Year;Summer School;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;729.803175732;Title I, Part A Schoolwide Activities Related To State Comp;General Operating Fund;EXTENDED YEAR
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Student Advisor, High Sch ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;129.86;GUIDANCE SERVICES;nan;STUDENTS
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;Basic Educational Services - District Objective ;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;189.225972222;Basic Educational Services;General Operating Fund;REGULAR PAY
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;CATEGORY III EXP ONLY SPECIAL ED;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;150.25;SPECIAL EDUCATION CATEGORY III;General Fund;nan
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Reading & Writing Asst ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PARAPROFESSIONAL;6247.214020580002;GENERAL K-8 EDUCATION;nan;REGULAR INSTRUCTION
Human Resources;Business Services;Leadership & Management;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;PERSONNEL;LOCAL;HR SPECIALIST;nan;nan;nan;OFFICE OF HUMAN RESOURCES;1.0;nan;nan;nan;46980.4788244;nan;nan;nan
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Super / Dir / Supv;nan;nan;ACCOUNTS PAYABLE ADMINISTRATOR;nan;Fiscal Services;nan;Central Office;1.0;nan;FISCAL SERVICES;SUPERVISOR -  MON.;114956.31;District Administration;General Purpose School;nan
School Administration;Leadership;School Reported;School;Unspecified;Principal;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Principal, Elementary ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;ADMINISTRATOR;928.4707199999999;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
Data Processing & Information Services;NO_LABEL;Leadership & Management;Non-School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;DUES AND FEES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;SUPPORT SERVICES-CENTRAL;nan;nan;27370.07;Misc;General Fund;nan
Recruitment;ISPD;Leadership & Management;Non-School;Unspecified;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, REGULAR;nan;nan;Extra Duty Wages;Undistributed;nan;Curriculum Development And Instructional Staff Dev;Human Resources, Administration;TEACHER BACHELOR;130.319459301;Undistributed;General Operating Fund;COOPERATING TEACHER STIPEND
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;SUB TEACHER ALL               ;nan;nan;nan;School ;0.0;BASIC (FEFP K-12)             ;nan;nan;2252.97;nan;GENERAL FUND                  ;nan
School Administration;Leadership;School Reported;School;Unspecified;Principal;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SCHOOL PRINCIPAL;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;nan;School Leadership;All Campus Payroll;PRINCIPAL;7301.54661298;Undistributed;General Operating Fund;EX-CURR PRIN SUPPLEMENT
Governance;Leadership;Leadership & Management;Non-School;Unspecified;(Exec) Director;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Other Personnel;nan;nan;BOARD MEMBER DISTRICT ;nan;Board of Education;nan;nan;1.0;nan;nan;BOARD MEMBER;23299.943990000003;District Administration;General Purpose School;nan
